Explored 1965 nodes
Solutions to 8-Queens:
Solution #72:  Q1 = 6,  Q2 = 3,  Q3 = 5,  Q4 = 8,  Q5 = 1,  Q6 = 4,  Q7 = 2,  Q8 = 7,  
Solution #73:  Q1 = 6,  Q2 = 3,  Q3 = 7,  Q4 = 2,  Q5 = 4,  Q6 = 8,  Q7 = 1,  Q8 = 5,  
Solution #74:  Q1 = 6,  Q2 = 3,  Q3 = 7,  Q4 = 2,  Q5 = 8,  Q6 = 5,  Q7 = 1,  Q8 = 4,  
Solution #75:  Q1 = 6,  Q2 = 3,  Q3 = 7,  Q4 = 4,  Q5 = 1,  Q6 = 8,  Q7 = 2,  Q8 = 5,  
Solution #76:  Q1 = 6,  Q2 = 4,  Q3 = 1,  Q4 = 5,  Q5 = 8,  Q6 = 2,  Q7 = 7,  Q8 = 3,  
Solution #77:  Q1 = 6,  Q2 = 4,  Q3 = 2,  Q4 = 8,  Q5 = 5,  Q6 = 7,  Q7 = 1,  Q8 = 3,  
Solution #78:  Q1 = 6,  Q2 = 4,  Q3 = 7,  Q4 = 1,  Q5 = 3,  Q6 = 5,  Q7 = 2,  Q8 = 8,  
Solution #79:  Q1 = 6,  Q2 = 4,  Q3 = 7,  Q4 = 1,  Q5 = 8,  Q6 = 2,  Q7 = 5,  Q8 = 3,  
Solution #80:  Q1 = 6,  Q2 = 8,  Q3 = 2,  Q4 = 4,  Q5 = 1,  Q6 = 7,  Q7 = 5,  Q8 = 3,  
Solution #81:  Q1 = 7,  Q2 = 1,  Q3 = 3,  Q4 = 8,  Q5 = 6,  Q6 = 4,  Q7 = 2,  Q8 = 5,  
Solution #82:  Q1 = 7,  Q2 = 2,  Q3 = 4,  Q4 = 1,  Q5 = 8,  Q6 = 5,  Q7 = 3,  Q8 = 6,  
Solution #83:  Q1 = 7,  Q2 = 2,  Q3 = 6,  Q4 = 3,  Q5 = 1,  Q6 = 4,  Q7 = 8,  Q8 = 5,  
Solution #84:  Q1 = 7,  Q2 = 3,  Q3 = 1,  Q4 = 6,  Q5 = 8,  Q6 = 5,  Q7 = 2,  Q8 = 4,  
Solution #85:  Q1 = 7,  Q2 = 3,  Q3 = 8,  Q4 = 2,  Q5 = 5,  Q6 = 1,  Q7 = 6,  Q8 = 4,  
Solution #86:  Q1 = 7,  Q2 = 4,  Q3 = 2,  Q4 = 5,  Q5 = 8,  Q6 = 1,  Q7 = 3,  Q8 = 6,  
Solution #87:  Q1 = 7,  Q2 = 4,  Q3 = 2,  Q4 = 8,  Q5 = 6,  Q6 = 1,  Q7 = 3,  Q8 = 5,  
Solution #88:  Q1 = 7,  Q2 = 5,  Q3 = 3,  Q4 = 1,  Q5 = 6,  Q6 = 8,  Q7 = 2,  Q8 = 4,  
Solution #89:  Q1 = 8,  Q2 = 2,  Q3 = 4,  Q4 = 1,  Q5 = 7,  Q6 = 5,  Q7 = 3,  Q8 = 6,  
Solution #90:  Q1 = 8,  Q2 = 2,  Q3 = 5,  Q4 = 3,  Q5 = 1,  Q6 = 7,  Q7 = 4,  Q8 = 6,  
Solution #91:  Q1 = 8,  Q2 = 3,  Q3 = 1,  Q4 = 6,  Q5 = 2,  Q6 = 5,  Q7 = 7,  Q8 = 4,  
Solution #92:  Q1 = 8,  Q2 = 4,  Q3 = 1,  Q4 = 3,  Q5 = 6,  Q6 = 2,  Q7 = 7,  Q8 = 5,  
